event_id,latitude,longitude,fog,accident,vehicle_count,timestamp
event_60,28.41248,77.328792,Foggy,Accident,9,2025-12-15T16:19:45.240952
event_61,28.696245,77.047964,Clear,Accident,5,2025-12-15T16:19:46.240566
event_62,28.864327,77.193634,Foggy,Accident,15,2025-12-15T16:19:47.240806
event_63,28.603304,77.023542,Foggy,Accident,7,2025-12-15T16:19:48.240825
event_64,28.809502,77.104912,Clear,Accident,4,2025-12-15T16:19:49.242537
event_65,28.48548,76.813313,Foggy,Accident,4,2025-12-15T16:19:50.276828
event_66,28.890813,77.01692,Foggy,No Accident,13,2025-12-15T16:19:51.388976
event_67,28.604321,77.194906,Clear,Accident,4,2025-12-15T16:19:52.388528
event_68,28.677338,77.114274,Clear,Accident,7,2025-12-15T16:19:53.389483
event_69,28.409938,76.916555,Foggy,Accident,11,2025-12-15T16:19:54.388756
event_70,28.814023,77.160108,Foggy,No Accident,18,2025-12-15T16:19:55.388025
event_71,28.576499,77.261886,Foggy,Accident,4,2025-12-15T16:19:56.388986
event_72,28.800567,76.884257,Clear,No Accident,33,2025-12-15T16:19:57.388917
event_73,28.626737,76.831447,Clear,Accident,20,2025-12-15T16:19:58.388838
event_74,28.879987,77.320466,Clear,No Accident,13,2025-12-15T16:19:59.389265
event_75,28.680459,77.01554,Foggy,No Accident,7,2025-12-15T16:20:00.426954
event_76,28.886901,76.894569,Foggy,Accident,2,2025-12-15T16:20:01.421955
event_77,28.651509,76.895609,Foggy,No Accident,10,2025-12-15T16:20:02.536358
event_78,28.831149,76.969361,Foggy,No Accident,8,2025-12-15T16:20:03.638252
event_79,28.42463,76.807432,Clear,Accident,3,2025-12-15T16:20:04.653957
event_80,28.574726,77.328307,Clear,Accident,6,2025-12-15T16:20:05.638269
event_81,28.712333,77.237124,Clear,No Accident,0,2025-12-15T16:20:06.638797
event_82,28.769289,76.837434,Foggy,Accident,8,2025-12-15T16:20:07.716016
event_83,28.637869,77.302292,Clear,No Accident,20,2025-12-15T16:20:08.642070
event_84,28.798691,77.04154,Foggy,No Accident,10,2025-12-15T16:20:09.638223
event_85,28.69249,76.827824,Clear,No Accident,8,2025-12-15T16:20:10.953455
event_86,28.811063,76.938058,Clear,Accident,20,2025-12-15T16:20:11.708454
event_87,28.72112,76.832626,Clear,No Accident,6,2025-12-15T16:20:12.707676
event_88,28.746925,77.263852,Clear,Accident,4,2025-12-15T16:20:13.709567
event_89,28.744512,77.19695,Clear,No Accident,3,2025-12-15T16:20:14.755318
event_90,28.63106,77.048059,Clear,No Accident,18,2025-12-15T16:20:15.988801
event_91,28.728369,76.944704,Foggy,No Accident,12,2025-12-15T16:20:16.985383
event_92,28.449996,77.145471,Foggy,Accident,7,2025-12-15T16:20:17.953157
event_93,28.469369,76.818007,Foggy,No Accident,24,2025-12-15T16:20:19.015054
event_94,28.759008,77.335542,Foggy,Accident,0,2025-12-15T16:20:19.953366
event_95,28.62214,77.206831,Foggy,Accident,16,2025-12-15T16:20:20.954464
event_96,28.851158,77.256827,Foggy,No Accident,6,2025-12-15T16:20:21.953223
event_97,28.727516,77.353191,Clear,Accident,5,2025-12-15T16:20:22.953229
event_98,28.695434,77.110999,Clear,No Accident,13,2025-12-15T16:20:23.952837
event_99,28.705022,77.330799,Clear,No Accident,13,2025-12-15T16:20:24.956942
event_100,28.596959,77.359906,Foggy,Accident,0,2025-12-15T16:20:25.954055
event_101,28.669399,77.071318,Foggy,Accident,11,2025-12-15T16:20:26.953187
event_102,28.876075,77.288289,Clear,No Accident,7,2025-12-15T16:20:27.990788
event_103,28.603116,77.187604,Clear,No Accident,6,2025-12-15T16:20:29.032447
event_104,28.423614,77.188081,Foggy,Accident,7,2025-12-15T16:20:30.032873
event_105,28.876201,77.126894,Clear,No Accident,35,2025-12-15T16:20:31.031778
event_106,28.823724,76.958016,Clear,Accident,9,2025-12-15T16:20:32.031838
event_107,28.538527,77.197094,Foggy,No Accident,27,2025-12-15T16:20:33.032708
event_108,28.54235,76.878153,Foggy,Accident,22,2025-12-15T16:20:34.032951
event_109,28.815646,76.984049,Foggy,Accident,7,2025-12-15T16:20:35.031213
event_110,28.532257,77.239766,Foggy,Accident,4,2025-12-15T16:20:36.031507
event_111,28.653839,77.1678,Foggy,Accident,28,2025-12-15T16:20:37.032948
event_112,28.56109,77.122737,Foggy,Accident,21,2025-12-15T16:20:38.032922
event_113,28.857359,76.803635,Clear,Accident,3,2025-12-15T16:20:39.032775
event_114,28.797214,77.242659,Foggy,Accident,6,2025-12-15T16:20:40.083495
event_115,28.837985,77.142126,Clear,Accident,24,2025-12-15T16:20:41.121814
event_116,28.543098,77.06267,Clear,Accident,18,2025-12-15T16:20:42.120442
event_117,28.556586,77.231453,Foggy,Accident,4,2025-12-15T16:20:43.121023
event_118,28.88242,77.114696,Foggy,No Accident,37,2025-12-15T16:20:44.120276
event_119,28.457342,76.960775,Clear,Accident,4,2025-12-15T16:20:45.120641
event_120,28.866493,76.860905,Clear,Accident,8,2025-12-15T16:20:46.119615
event_121,28.732101,76.915306,Foggy,Accident,16,2025-12-15T16:20:47.119588
event_122,28.84936,76.967589,Foggy,Accident,1,2025-12-15T16:20:48.119570
event_123,28.784426,77.152928,Clear,No Accident,33,2025-12-15T16:20:49.118994
event_124,28.712238,77.11466,Clear,Accident,24,2025-12-15T16:20:50.119958
event_125,28.493568,77.25407,Clear,No Accident,13,2025-12-15T16:20:51.119992
event_126,28.447109,77.281934,Clear,No Accident,3,2025-12-15T16:20:52.121486
event_127,28.738786,77.061852,Foggy,Accident,16,2025-12-15T16:20:53.165603
event_128,28.744424,77.087732,Foggy,Accident,4,2025-12-15T16:20:54.180501
event_129,28.723212,76.936854,Clear,Accident,14,2025-12-15T16:20:55.180023
event_130,28.432034,77.086037,Foggy,Accident,35,2025-12-15T16:20:56.242710
event_131,28.775487,76.837823,Clear,No Accident,6,2025-12-15T16:20:57.179532
event_132,28.764521,77.317802,Clear,Accident,8,2025-12-15T16:20:58.180807
event_133,28.889356,77.257086,Clear,Accident,21,2025-12-15T16:20:59.179608
event_134,28.400154,77.136274,Clear,Accident,10,2025-12-15T16:21:00.181198
event_135,28.836284,77.284278,Foggy,Accident,3,2025-12-15T16:21:01.178999
event_136,28.827151,76.992282,Foggy,Accident,0,2025-12-15T16:21:02.181728
event_137,28.521705,77.027165,Clear,Accident,12,2025-12-15T16:21:03.179978
event_138,28.660527,77.236162,Foggy,No Accident,8,2025-12-15T16:21:04.181901
event_139,28.648043,76.99058,Foggy,Accident,33,2025-12-15T16:21:05.213655
event_140,28.405262,77.39223,Foggy,No Accident,14,2025-12-15T16:21:06.261780
event_141,28.860728,77.061858,Clear,Accident,4,2025-12-15T16:21:07.261542
event_142,28.67876,76.94135,Clear,Accident,5,2025-12-15T16:21:08.262173
event_143,28.562294,77.220875,Foggy,Accident,12,2025-12-15T16:21:09.281245
event_144,28.682126,77.280477,Clear,Accident,8,2025-12-15T16:21:10.261916
event_145,28.722195,77.259115,Clear,Accident,1,2025-12-15T16:21:11.315606
event_146,28.870423,77.356958,Foggy,No Accident,6,2025-12-15T16:21:12.261926
event_147,28.750616,76.95448,Clear,Accident,2,2025-12-15T16:21:13.262614
event_148,28.855343,77.057614,Clear,Accident,11,2025-12-15T16:21:14.262069
event_149,28.695491,77.186192,Clear,Accident,11,2025-12-15T16:21:15.262118
event_150,28.546404,77.329193,Foggy,No Accident,25,2025-12-15T16:21:16.320010
event_151,28.648695,77.352853,Clear,Accident,13,2025-12-15T16:21:17.262495
event_152,28.651382,77.008425,Clear,No Accident,22,2025-12-15T16:21:18.292725
event_153,28.507595,77.087513,Clear,Accident,30,2025-12-15T16:21:19.330869
event_154,28.622055,77.171152,Foggy,No Accident,3,2025-12-15T16:21:20.331695
event_155,28.662478,77.024668,Clear,Accident,4,2025-12-15T16:21:21.350172
event_156,28.88063,77.094429,Foggy,No Accident,16,2025-12-15T16:21:22.330927
event_157,28.803492,77.251447,Foggy,Accident,25,2025-12-15T16:21:23.331641
event_158,28.884796,77.328116,Clear,No Accident,7,2025-12-15T16:21:24.333844
event_159,28.795028,76.94487,Clear,No Accident,5,2025-12-15T16:21:25.330262
event_160,28.799868,76.84238,Foggy,Accident,19,2025-12-15T16:21:26.331497
event_161,28.447881,77.155463,Foggy,No Accident,28,2025-12-15T16:21:27.331302
event_162,28.724972,77.274711,Clear,Accident,12,2025-12-15T16:21:28.332227
event_163,28.742365,77.295678,Clear,Accident,3,2025-12-15T16:21:29.331792
event_164,28.717128,77.203066,Clear,Accident,5,2025-12-15T16:21:30.330745
event_165,28.436851,77.360584,Foggy,No Accident,5,2025-12-15T16:21:31.444804
event_166,28.513434,77.391937,Foggy,No Accident,4,2025-12-15T16:21:32.546548
event_167,28.822765,77.045674,Foggy,No Accident,21,2025-12-15T16:21:33.555397
event_168,28.632237,77.199022,Clear,Accident,6,2025-12-15T16:21:34.524639
event_169,28.556307,77.292727,Clear,No Accident,4,2025-12-15T16:21:35.666871
event_170,28.830669,76.947754,Foggy,Accident,42,2025-12-15T16:21:36.509704
event_171,28.461474,77.385787,Foggy,No Accident,15,2025-12-15T16:21:37.509973
event_172,28.891665,76.986604,Foggy,Accident,3,2025-12-15T16:21:38.510755
event_173,28.487938,77.390142,Clear,Accident,28,2025-12-15T16:21:39.526655
event_174,28.605363,77.031781,Clear,No Accident,9,2025-12-15T16:21:40.515400
event_175,28.637332,77.119938,Clear,Accident,22,2025-12-15T16:21:41.596786
event_176,28.516907,76.90777,Foggy,Accident,18,2025-12-15T16:21:42.552671
event_177,28.459232,77.285604,Foggy,Accident,27,2025-12-15T16:21:43.627194
event_178,28.607586,77.047165,Clear,Accident,13,2025-12-15T16:21:44.678607
event_179,28.487456,77.080197,Clear,No Accident,12,2025-12-15T16:21:45.680436
event_180,28.819844,76.853473,Foggy,Accident,11,2025-12-15T16:21:46.679820
event_181,28.516017,77.084054,Clear,Accident,16,2025-12-15T16:21:47.678982
event_182,28.502239,77.198036,Foggy,Accident,4,2025-12-15T16:21:48.678620
event_183,28.412116,77.277056,Foggy,Accident,4,2025-12-15T16:21:49.679144
event_184,28.511121,76.961293,Clear,No Accident,4,2025-12-15T16:21:50.680198
event_185,28.452496,77.245716,Foggy,Accident,24,2025-12-15T16:21:51.678688
event_186,28.789085,77.113713,Clear,Accident,17,2025-12-15T16:21:52.678145
event_187,28.682993,77.057444,Clear,Accident,7,2025-12-15T16:21:53.734776
event_188,28.694555,76.987381,Foggy,No Accident,15,2025-12-15T16:21:54.681203
event_189,28.632097,77.262074,Foggy,Accident,12,2025-12-15T16:21:55.680617
event_190,28.841476,77.261234,Foggy,No Accident,2,2025-12-15T16:21:56.720327
event_191,28.540115,76.82641,Foggy,Accident,15,2025-12-15T16:21:57.805400
event_192,28.583821,77.396552,Foggy,No Accident,25,2025-12-15T16:21:58.805978
event_193,28.612433,77.253235,Clear,No Accident,15,2025-12-15T16:21:59.805398
event_194,28.689595,77.269936,Clear,No Accident,23,2025-12-15T16:22:00.804679
event_195,28.605627,76.977025,Foggy,No Accident,13,2025-12-15T16:22:01.806233
event_196,28.875476,77.218652,Foggy,No Accident,9,2025-12-15T16:22:02.805219
event_197,28.576949,77.212031,Foggy,Accident,7,2025-12-15T16:22:03.806888
event_198,28.870486,77.348047,Clear,Accident,4,2025-12-15T16:22:04.805067
event_199,28.413521,77.378248,Foggy,No Accident,13,2025-12-15T16:22:05.806432
event_200,28.448549,76.918479,Foggy,Accident,5,2025-12-15T16:22:06.806947
event_201,28.464454,77.379322,Clear,Accident,0,2025-12-15T16:22:07.846311
event_202,28.597425,76.860978,Foggy,No Accident,25,2025-12-15T16:22:08.913151
event_203,28.656774,76.973971,Clear,Accident,2,2025-12-15T16:22:09.919368
event_204,28.536788,77.121541,Clear,No Accident,8,2025-12-15T16:22:10.918665
event_205,28.494225,77.38412,Foggy,No Accident,17,2025-12-15T16:22:11.919260
event_206,28.551755,77.001303,Foggy,Accident,11,2025-12-15T16:22:12.939689
event_207,28.71032,77.054003,Foggy,Accident,7,2025-12-15T16:22:14.072474
event_208,28.848845,77.077119,Clear,No Accident,27,2025-12-15T16:22:14.918863
event_209,28.828097,77.119458,Clear,Accident,11,2025-12-15T16:22:15.920244
event_210,28.433908,77.255654,Foggy,No Accident,5,2025-12-15T16:22:16.918066
event_211,28.896449,77.36693,Foggy,Accident,16,2025-12-15T16:22:17.918461
event_212,28.559376,77.242085,Clear,Accident,10,2025-12-15T16:22:19.007275
event_213,28.776014,76.863673,Foggy,No Accident,7,2025-12-15T16:22:19.918416
event_214,28.792307,77.154958,Clear,No Accident,7,2025-12-15T16:22:20.918149
event_215,28.751878,77.206547,Clear,No Accident,6,2025-12-15T16:22:21.931883
event_216,28.776919,77.297792,Foggy,Accident,12,2025-12-15T16:22:22.993001
event_217,28.454902,77.200196,Foggy,Accident,19,2025-12-15T16:22:23.999470
event_218,28.676439,76.858017,Clear,Accident,21,2025-12-15T16:22:24.993894
event_219,28.588557,76.903016,Clear,Accident,28,2025-12-15T16:22:25.994148
event_220,28.623156,76.940566,Foggy,Accident,22,2025-12-15T16:22:26.994226
event_221,28.749892,77.150282,Foggy,Accident,10,2025-12-15T16:22:27.993308
event_222,28.665161,77.019037,Foggy,No Accident,20,2025-12-15T16:22:28.993287
event_223,28.631244,76.860562,Clear,No Accident,5,2025-12-15T16:22:29.995524
event_224,28.445135,77.243652,Clear,Accident,25,2025-12-15T16:22:30.995645
event_225,28.537886,77.23049,Foggy,Accident,3,2025-12-15T16:22:31.995174
event_226,28.800335,77.134793,Clear,Accident,3,2025-12-15T16:22:33.034281
event_227,28.743533,77.358691,Clear,No Accident,4,2025-12-15T16:22:34.047518
event_228,28.823535,77.212833,Clear,Accident,8,2025-12-15T16:22:35.053675
event_229,28.508867,76.999369,Foggy,Accident,12,2025-12-15T16:22:36.053948
event_230,28.76125,76.962542,Foggy,No Accident,28,2025-12-15T16:22:37.053367
event_231,28.581241,76.992064,Foggy,No Accident,21,2025-12-15T16:22:38.063186
event_232,28.616615,77.056292,Clear,Accident,10,2025-12-15T16:22:39.056676
event_233,28.837565,77.184754,Foggy,No Accident,4,2025-12-15T16:22:40.054920
event_234,28.729484,77.112886,Foggy,Accident,25,2025-12-15T16:22:41.054016
event_235,28.784625,76.838879,Clear,Accident,17,2025-12-15T16:22:42.056540
event_236,28.888191,77.321495,Clear,No Accident,25,2025-12-15T16:22:43.065594
event_237,28.807118,77.335195,Foggy,No Accident,20,2025-12-15T16:22:44.054698
event_238,28.755044,77.139401,Clear,No Accident,9,2025-12-15T16:22:45.054537
event_239,28.757872,77.13668,Foggy,Accident,6,2025-12-15T16:22:46.056122
event_240,28.674419,77.355068,Clear,No Accident,13,2025-12-15T16:22:47.359134
event_241,28.487397,76.9598,Foggy,No Accident,11,2025-12-15T16:22:48.388646
event_242,28.628824,76.960001,Foggy,Accident,8,2025-12-15T16:22:49.389999
event_243,28.487048,76.975963,Clear,Accident,5,2025-12-15T16:22:50.389694
event_244,28.453431,76.934863,Clear,No Accident,12,2025-12-15T16:22:51.388303
event_245,28.696404,77.065232,Foggy,Accident,4,2025-12-15T16:22:52.390239
event_246,28.56931,76.924112,Clear,No Accident,2,2025-12-15T16:22:53.390491
event_247,28.614648,77.042287,Clear,No Accident,30,2025-12-15T16:22:54.388625
event_248,28.432767,76.986962,Clear,No Accident,12,2025-12-15T16:22:55.389840
event_249,28.760538,76.96709,Clear,Accident,14,2025-12-15T16:22:56.387719
event_250,28.412981,77.127836,Foggy,No Accident,23,2025-12-15T16:22:57.389462
event_251,28.530917,77.121602,Clear,No Accident,6,2025-12-15T16:22:58.400772
event_252,28.620192,77.265003,Clear,No Accident,16,2025-12-15T16:22:59.433210
event_253,28.760634,76.872531,Foggy,No Accident,33,2025-12-15T16:23:00.492330
event_254,28.638717,76.808087,Foggy,Accident,12,2025-12-15T16:23:01.483757
event_255,28.535411,77.189651,Foggy,Accident,12,2025-12-15T16:23:02.483925
event_256,28.435372,77.178866,Foggy,No Accident,12,2025-12-15T16:23:03.483895
event_257,28.713441,77.028615,Clear,Accident,28,2025-12-15T16:23:04.483254
event_258,28.597687,77.032525,Foggy,No Accident,4,2025-12-15T16:23:05.485935
event_259,28.550631,77.005791,Foggy,No Accident,2,2025-12-15T16:23:06.496287
event_260,28.813075,76.863004,Clear,No Accident,23,2025-12-15T16:23:07.487051
event_261,28.751783,76.894235,Foggy,Accident,10,2025-12-15T16:23:08.485321
event_262,28.463776,77.376139,Clear,No Accident,18,2025-12-15T16:23:09.486230
event_263,28.43882,77.297092,Clear,Accident,6,2025-12-15T16:23:10.483400
event_264,28.863816,76.802992,Foggy,No Accident,7,2025-12-15T16:23:11.485871
event_265,28.411602,76.870319,Foggy,No Accident,20,2025-12-15T16:23:12.538147
event_266,28.898298,77.281416,Clear,Accident,4,2025-12-15T16:23:13.579282
event_267,28.650345,77.372797,Clear,Accident,4,2025-12-15T16:23:14.573664
event_268,28.443774,77.36361,Foggy,Accident,15,2025-12-15T16:23:15.578168
event_269,28.763966,77.007386,Foggy,No Accident,21,2025-12-15T16:23:16.636902
event_270,28.684037,77.199624,Foggy,No Accident,23,2025-12-15T16:23:17.626838
event_271,28.4393,77.122054,Clear,No Accident,8,2025-12-15T16:23:18.572469
event_272,28.419466,77.176034,Clear,No Accident,12,2025-12-15T16:23:19.573575
event_273,28.495401,76.894214,Clear,Accident,2,2025-12-15T16:23:20.573012
event_274,28.70218,76.831847,Foggy,Accident,3,2025-12-15T16:23:21.572618
event_275,28.585005,77.035442,Clear,Accident,2,2025-12-15T16:23:22.573139
event_276,28.599962,76.853448,Clear,Accident,16,2025-12-15T16:23:23.573260
event_277,28.770398,76.911787,Foggy,Accident,8,2025-12-15T16:23:24.670861
event_278,28.603904,77.169776,Clear,Accident,15,2025-12-15T16:23:25.673748
event_279,28.899066,77.200447,Clear,Accident,3,2025-12-15T16:23:26.737727
event_280,28.692613,76.850991,Foggy,No Accident,5,2025-12-15T16:23:27.663629
event_281,28.773684,76.916511,Foggy,Accident,15,2025-12-15T16:23:28.664530
event_282,28.618735,77.145704,Clear,Accident,22,2025-12-15T16:23:29.727635
event_283,28.893467,76.895356,Clear,Accident,36,2025-12-15T16:23:31.330362
event_284,28.874783,77.066944,Foggy,Accident,12,2025-12-15T16:23:32.078830
event_285,28.804284,76.835609,Clear,No Accident,6,2025-12-15T16:23:33.078377
event_286,28.591993,76.841708,Clear,No Accident,18,2025-12-15T16:23:34.080572
event_287,28.876603,76.828001,Foggy,No Accident,10,2025-12-15T16:23:35.078456
event_288,28.849131,76.822981,Clear,Accident,4,2025-12-15T16:23:36.078573
event_289,28.605458,77.199279,Foggy,Accident,28,2025-12-15T16:23:37.121475
event_290,28.499778,76.96876,Foggy,No Accident,23,2025-12-15T16:23:38.159158
event_291,28.798035,77.14565,Foggy,No Accident,4,2025-12-15T16:23:39.156914
event_292,28.750542,77.314026,Clear,No Accident,7,2025-12-15T16:23:40.158269
event_293,28.530736,77.07469,Clear,Accident,9,2025-12-15T16:23:41.178297
event_294,28.511478,76.870254,Clear,No Accident,12,2025-12-15T16:23:42.185488
event_295,28.494688,77.024362,Foggy,Accident,20,2025-12-15T16:23:43.245466
event_296,28.894002,77.008287,Foggy,Accident,15,2025-12-15T16:23:44.156506
event_297,28.817128,77.284715,Foggy,No Accident,4,2025-12-15T16:23:45.156699
event_298,28.789105,77.374194,Foggy,Accident,5,2025-12-15T16:23:46.159606
event_299,28.672889,77.305331,Foggy,No Accident,5,2025-12-15T16:23:47.156937
event_300,28.574003,76.956818,Foggy,No Accident,3,2025-12-15T16:23:48.156474
event_301,28.599905,76.870949,Clear,Accident,3,2025-12-15T16:23:49.156391
event_302,28.483938,77.322183,Clear,Accident,4,2025-12-15T16:23:50.308326
event_303,28.866515,77.370321,Clear,No Accident,4,2025-12-15T16:23:51.353218
event_304,28.701717,77.256172,Foggy,Accident,16,2025-12-15T16:23:52.354187
event_305,28.783255,76.955893,Clear,Accident,20,2025-12-15T16:23:53.354275
event_306,28.474348,77.197053,Foggy,Accident,14,2025-12-15T16:23:54.354632
event_307,28.724659,77.178737,Clear,No Accident,12,2025-12-15T16:23:55.389447
event_308,28.737603,76.872059,Foggy,No Accident,8,2025-12-15T16:23:56.398429
event_309,28.495979,77.370755,Clear,Accident,9,2025-12-15T16:23:57.768903
event_310,28.567148,76.860968,Clear,Accident,17,2025-12-15T16:23:58.528478
event_311,28.552731,77.322323,Foggy,Accident,9,2025-12-15T16:23:59.519456
event_312,28.641025,77.076613,Foggy,No Accident,29,2025-12-15T16:24:00.519981
event_313,28.669757,77.296842,Clear,No Accident,4,2025-12-15T16:24:01.519289
event_314,28.869909,77.097528,Clear,Accident,24,2025-12-15T16:24:02.545316
event_315,28.672118,77.274975,Clear,Accident,19,2025-12-15T16:24:03.620110
event_316,28.406103,77.369295,Clear,No Accident,10,2025-12-15T16:24:04.620910
event_317,28.516493,77.207463,Foggy,Accident,8,2025-12-15T16:24:05.620600
event_318,28.606002,77.263904,Clear,Accident,26,2025-12-15T16:24:06.656604
event_319,28.607876,76.871978,Clear,Accident,11,2025-12-15T16:24:07.620960
event_320,28.590841,76.933005,Foggy,Accident,8,2025-12-15T16:24:08.620210
event_321,28.472016,76.886045,Foggy,Accident,13,2025-12-15T16:24:09.621778
event_322,28.727419,77.299166,Foggy,Accident,6,2025-12-15T16:24:10.621365
event_323,28.684218,77.038658,Foggy,Accident,8,2025-12-15T16:24:11.796004
event_324,28.448198,77.206303,Clear,Accident,4,2025-12-15T16:24:12.619939
event_325,28.748613,77.350889,Clear,Accident,10,2025-12-15T16:24:13.661184
event_326,28.514889,77.252403,Clear,Accident,15,2025-12-15T16:24:14.621185
event_327,28.502507,76.882661,Foggy,Accident,4,2025-12-15T16:24:15.713379
event_328,28.654655,77.028481,Clear,No Accident,10,2025-12-15T16:24:16.763735
event_329,28.739385,77.208062,Foggy,Accident,20,2025-12-15T16:24:17.759406
event_330,28.481086,77.017319,Clear,Accident,18,2025-12-15T16:24:18.759537
event_331,28.485531,77.040615,Foggy,No Accident,20,2025-12-15T16:24:19.759172
event_332,28.774383,77.039666,Foggy,No Accident,6,2025-12-15T16:24:20.758834
event_333,28.606381,76.871953,Foggy,Accident,7,2025-12-15T16:24:21.758428
event_334,28.555943,77.022831,Clear,No Accident,3,2025-12-15T16:24:22.757939
event_335,28.630528,77.241216,Foggy,Accident,10,2025-12-15T16:24:23.760353
event_336,28.700842,77.002681,Clear,No Accident,15,2025-12-15T16:24:24.759839
event_337,28.493791,77.05153,Foggy,No Accident,24,2025-12-15T16:24:25.758447
event_338,28.739038,76.857369,Foggy,No Accident,10,2025-12-15T16:24:26.759204
event_339,28.595959,77.274357,Foggy,Accident,19,2025-12-15T16:24:27.822333
